Title,Location,P24_Description,P24_Link,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Agency,Price,Unnamed: 0,Remax_Description
2 Bedroom Apartment / Flat,Gaborone Central,"Tlokweng, tshimong- exciting new development. Upcoming complex within the precinct of",https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-gaborone-central-109647467,2.0,2.0,2.0,,Property24,P 599 900,,
3 Bedroom House,Phakalane,"This stunning double-storey home rests on a generous 942sqm plot, offering both style and",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113504731,3.0,2.0,2.0,942 m²,Property24,P 2 700 000,,
3 Bedroom House,Phakalane,"This stunning double-storey home rests on a generous 942sqm plot, offering both style and",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113504731,3.0,2.0,2.0,942 m²,Property24,P 2 700 000,,
Industrial Property,Gaborone,Spacious warehouse on a good size plot of 2016sqm and build up area 718sqm with 3 shutter,https://www.property24.co.bw/industrial-property-for-sale-in-gaborone-105857399,,,,2 016 m²,Property24,P 3 900 000,,
Industrial Property,Gaborone,Spacious warehouse on a good size plot of 2016sqm and build up area 718sqm with 3 shutter,https://www.property24.co.bw/industrial-property-for-sale-in-gaborone-105857399,,,,2 016 m²,Property24,P 3 900 000,,
1 Bedroom Apartment / Flat,Phakalane,"Introducing Bodulo Apartments, an exclusive complex of upmarket 1 and 2 bedroom apartments",https://www.property24.co.bw/1-bedroom-apartment-flat-for-sale-in-phakalane-112386710,1.0,1.0,1.0,1 ha,Property24,P 825 000,,
1 Bedroom Apartment / Flat,Phakalane,"Introducing Bodulo Apartments, an exclusive complex of upmarket 1 and 2 bedroom apartments",https://www.property24.co.bw/1-bedroom-apartment-flat-for-sale-in-phakalane-112386710,1.0,1.0,1.0,1 ha,Property24,P 825 000,,
4 Bedroom House,Mokolodi 2,MOKOLODI 2: A one of a kind masterpiece home designed with elegance and class. Nestled in,https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-2-113730607,4.0,4.0,4.0,1.2 ha,Property24,P 17 000 000,,
4 Bedroom House,Mokolodi 2,MOKOLODI 2: A one of a kind masterpiece home designed with elegance and class. Nestled in,https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-2-113730607,4.0,4.0,4.0,1.2 ha,Property24,P 17 000 000,,
Industrial Property,Gaborone,Property measuring approx. 94m2 is located in popular complex in Block 3 industrial.,https://www.property24.co.bw/industrial-property-for-sale-in-gaborone-111425721,,,,94 m²,Property24,P 850 000,,
Industrial Property,Gaborone,Property measuring approx. 94m2 is located in popular complex in Block 3 industrial.,https://www.property24.co.bw/industrial-property-for-sale-in-gaborone-111425721,,,,94 m²,Property24,P 850 000,,
6 Bedroom House,Block 9,"BLOCK 9- Lovely property offers two houses as one property, semi-detached, consisting of 3",https://www.property24.co.bw/6-bedroom-house-for-sale-in-block-9-111766236,6.0,6.0,6.0,1 149 m²,Property24,P 2 900 000,,
6 Bedroom House,Block 9,"BLOCK 9- Lovely property offers two houses as one property, semi-detached, consisting of 3",https://www.property24.co.bw/6-bedroom-house-for-sale-in-block-9-111766236,6.0,6.0,6.0,1 149 m²,Property24,P 2 900 000,,
3 Bedroom House,Block 10,"A newly built family home in a fast rising neighbourhood of Block 10 in Gaborone, not so",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-10-110837917,3.0,4.0,4.0,300 m²,Property24,P 1 250 000,,
3 Bedroom House,Block 10,"A newly built family home in a fast rising neighbourhood of Block 10 in Gaborone, not so",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-10-110837917,3.0,4.0,4.0,300 m²,Property24,P 1 250 000,,
4 Bedroom House,Mokolodi 2,MOKOLODI 2: A one of a kind masterpiece home designed with elegance and class. Nestled in,https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-2-101743592,4.0,4.0,4.0,1.2 ha,Property24,P 17 000 000,,
4 Bedroom House,Mokolodi 2,MOKOLODI 2: A one of a kind masterpiece home designed with elegance and class. Nestled in,https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-2-101743592,4.0,4.0,4.0,1.2 ha,Property24,P 17 000 000,,
4 Bedroom House,Extension 9,"EXTENSION 9: Embrace a modern lifestyle in a sought-after location, close to schools in the",https://www.property24.co.bw/4-bedroom-house-for-sale-in-extension-9-113879621,4.0,4.0,4.0,1 468 m²,Property24,P 7 950 000,,
4 Bedroom House,Extension 9,"EXTENSION 9: Embrace a modern lifestyle in a sought-after location, close to schools in the",https://www.property24.co.bw/4-bedroom-house-for-sale-in-extension-9-113879621,4.0,4.0,4.0,1 468 m²,Property24,P 7 950 000,,
Vacant Land / Plot,Gaborone North,"Empty plot measuring 805sqm, title deed, serviced, paved internal roads, in a developed",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-114297385,,,,805 508 m²,Property24,P 550 000,,
Vacant Land / Plot,Gaborone North,"Empty plot measuring 805sqm, title deed, serviced, paved internal roads, in a developed",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-114297385,,,,805 508 m²,Property24,P 550 000,,
4 Bedroom House,Phakalane,Discover the epitome of convenience and comfort with this exquisite property nestled in the,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114330705,4.0,2.0,2.0,968 m²,Property24,P 2 370 000,,
4 Bedroom House,Phakalane,Discover the epitome of convenience and comfort with this exquisite property nestled in the,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114330705,4.0,2.0,2.0,968 m²,Property24,P 2 370 000,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots. Various plots to suite your budget, all roads internally",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113598041,,,,789 m²,Property24,P 591 750,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots. Various plots to suite your budget, all roads internally",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113598041,,,,789 m²,Property24,P 591 750,,
4 Bedroom House,Block 3,"BLOCK 3: Beautiful and grand home in the heart of the city, just a hop from the CBD.",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-3-113114693,4.0,4.0,4.0,900 m²,Property24,P 5 800 000,,
4 Bedroom House,Block 3,"BLOCK 3: Beautiful and grand home in the heart of the city, just a hop from the CBD.",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-3-113114693,4.0,4.0,4.0,900 m²,Property24,P 5 800 000,,
4 Bedroom House,Phakalane,"Phakalane: location! Location! Location! This executive double story offers 2 lounges,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113735457,4.0,3.0,3.0,1 800 m²,Property24,P 4 500 000,,
4 Bedroom House,Phakalane,"Phakalane: location! Location! Location! This executive double story offers 2 lounges,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113735457,4.0,3.0,3.0,1 800 m²,Property24,P 4 500 000,,
4 Bedroom House,Phakalane,"MDA5626
Nicely situated home in an exclusive and sought after street of  Phakalane phase 1.",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113407837,4.0,3.0,3.0,1 800 m²,Property24,P 4 500 000,,
4 Bedroom House,Phakalane,"MDA5626
Nicely situated home in an exclusive and sought after street of  Phakalane phase 1.",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113407837,4.0,3.0,3.0,1 800 m²,Property24,P 4 500 000,,
3 Bedroom Townhouse,Block 6,BLOCK 6: Modern and contemporary townhouse in a secure complex. This home is compact and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-6-113571217,3.0,3.0,3.0,,Property24,P 2 700 000,,
3 Bedroom Townhouse,Block 6,BLOCK 6: Modern and contemporary townhouse in a secure complex. This home is compact and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-6-113571217,3.0,3.0,3.0,,Property24,P 2 700 000,,
Commercial Property,Gaborone West Phase 1,"GABORONE WEST 1: Civic andamp; Community/Multi-Purpose property can be used for a school,",https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-west-phase-1-113570078,,,,,Property24,P 4 800 000,,
Commercial Property,Gaborone West Phase 1,"GABORONE WEST 1: Civic andamp; Community/Multi-Purpose property can be used for a school,",https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-west-phase-1-113570078,,,,,Property24,P 4 800 000,,
Commercial Property,Phakalane,"PHAKALANE: Prime commercial property. This property is located in a strategic location,",https://www.property24.co.bw/commercial-property-for-sale-in-phakalane-113566076,,,,,Property24,P 8 200 000,,
Commercial Property,Phakalane,"PHAKALANE: Prime commercial property. This property is located in a strategic location,",https://www.property24.co.bw/commercial-property-for-sale-in-phakalane-113566076,,,,,Property24,P 8 200 000,,
4 Bedroom Townhouse,Gaborone North,Embrace a contemporary lifestyle with captivating features in a gated lifestyle complex.,https://www.property24.co.bw/4-bedroom-townhouse-for-sale-in-gaborone-north-113796050,4.0,2.5,2.5,,Property24,P 1 900 000,,
4 Bedroom Townhouse,Gaborone North,Embrace a contemporary lifestyle with captivating features in a gated lifestyle complex.,https://www.property24.co.bw/4-bedroom-townhouse-for-sale-in-gaborone-north-113796050,4.0,2.5,2.5,,Property24,P 1 900 000,,
3 Bedroom House,Phakalane,"PHAKALANE: Double storey in a very good safe gated estate . This home offers 2 lounges,",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113845812,3.0,2.0,2.0,679 m²,Property24,P 2 650 000,,
3 Bedroom House,Phakalane,"PHAKALANE: Double storey in a very good safe gated estate . This home offers 2 lounges,",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113845812,3.0,2.0,2.0,679 m²,Property24,P 2 650 000,,
4 Bedroom House,Phakalane,"Valuation: P3.1 Million
 Exceptional Phakalane Residence - Your Dream Home Awaits!",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113601695,4.0,3.0,3.0,1 172 m²,Property24,P 2 850 000,,
4 Bedroom House,Phakalane,"Valuation: P3.1 Million
 Exceptional Phakalane Residence - Your Dream Home Awaits!",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113601695,4.0,3.0,3.0,1 172 m²,Property24,P 2 850 000,,
3 Bedroom Townhouse,Block 10,"Bespoke lifestyle development in one of Gaborone's most desired locations, Setlhoa Block",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-10-113549878,3.0,2.5,2.5,,Property24,P 2 310 000,,
3 Bedroom Townhouse,Block 10,"Bespoke lifestyle development in one of Gaborone's most desired locations, Setlhoa Block",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-10-113549878,3.0,2.5,2.5,,Property24,P 2 310 000,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots for sale in Gaborone North measuring 856m2, only 1.4km from",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113434152,,,,856 m²,Property24,P 642 000,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots for sale in Gaborone North measuring 856m2, only 1.4km from",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113434152,,,,856 m²,Property24,P 642 000,,
3 Bedroom House,Phakalane,"MDA5668
An ideal canvas awaiting your personal touch to create  a modern masterpiece. Clean",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113729763,3.0,2.0,2.0,1 303 m²,Property24,P 2 300 000,,
3 Bedroom House,Phakalane,"MDA5668
An ideal canvas awaiting your personal touch to create  a modern masterpiece. Clean",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113729763,3.0,2.0,2.0,1 303 m²,Property24,P 2 300 000,,
Commercial Property,Gaborone,G.I.F.P: This blue-chip office offers a ground and fist floor offices. Currently leased out,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-113376383,,,,,Property24,P 3 000 000,,
Commercial Property,Gaborone,G.I.F.P: This blue-chip office offers a ground and fist floor offices. Currently leased out,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-113376383,,,,,Property24,P 3 000 000,,
3 Bedroom House,Broadhurst,"Affordable House for Sale in Taung, Gaborone!
P780 000.00

Looking for your dream home?",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114224687,3.0,1.0,1.0,453 m²,Property24,P 780 000,,
3 Bedroom House,Broadhurst,"Affordable House for Sale in Taung, Gaborone!
P780 000.00

Looking for your dream home?",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114224687,3.0,1.0,1.0,453 m²,Property24,P 780 000,,
4 Bedroom House,Gaborone Central,"Exceptional Family Home for Sale - Unbeatable Value! 

This remarkable property is the",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-central-113595841,4.0,3.0,3.0,642 m²,Property24,P 2 650 000,,
4 Bedroom House,Gaborone Central,"Exceptional Family Home for Sale - Unbeatable Value! 

This remarkable property is the",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-central-113595841,4.0,3.0,3.0,642 m²,Property24,P 2 650 000,,
3 Bedroom House,Phakalane,"Exceptional Property for Sale – Price Negotiable!

Gated Community security for",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113672077,3.0,2.0,2.0,950 m²,Property24,P 2 700 000,,
3 Bedroom House,Phakalane,"Exceptional Property for Sale – Price Negotiable!

Gated Community security for",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-113672077,3.0,2.0,2.0,950 m²,Property24,P 2 700 000,,
3 Bedroom House,Block 7,A Newly built home in Block 7 suitable for the whole family. In close proximity to a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-7-111396894,3.0,4.0,4.0,300 m²,Property24,P 1 250 000,,
3 Bedroom House,Block 7,A Newly built home in Block 7 suitable for the whole family. In close proximity to a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-7-111396894,3.0,4.0,4.0,300 m²,Property24,P 1 250 000,,
3 Bedroom House,Gaborone North,GABORONE NORTH: Wonderful investment opportunity. Be able to live in one property and be,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-107243660,3.0,2.0,2.0,,Property24,P 4 000 000,,
3 Bedroom House,Gaborone North,GABORONE NORTH: Wonderful investment opportunity. Be able to live in one property and be,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-107243660,3.0,2.0,2.0,,Property24,P 4 000 000,,
Industrial Property,Phakalane,"This warehouse is situated on a 1,090 sqm plot with a total built-up area of 770 sqm,",https://www.property24.co.bw/industrial-property-for-sale-in-phakalane-113918106,,,,1 924 m²,Property24,P 8 200 000,,
Industrial Property,Phakalane,"This warehouse is situated on a 1,090 sqm plot with a total built-up area of 770 sqm,",https://www.property24.co.bw/industrial-property-for-sale-in-phakalane-113918106,,,,1 924 m²,Property24,P 8 200 000,,
4 Bedroom House,Block 9,"This property features:
4 bedrooms all ensuite, lounge, dining area, fitted kitchen, maids",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-9-113309517,4.0,4.0,4.0,450 m²,Property24,P 1 650 000,,
4 Bedroom House,Block 9,"This property features:
4 bedrooms all ensuite, lounge, dining area, fitted kitchen, maids",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-9-113309517,4.0,4.0,4.0,450 m²,Property24,P 1 650 000,,
9 Bedroom House,Broadhurst,"This property offers a two-bedroom stand-alone house with bathroom, lounge and kitchen; 7",https://www.property24.co.bw/9-bedroom-house-for-sale-in-broadhurst-111982288,9.0,,,,Property24,P 1 200 000,,
9 Bedroom House,Broadhurst,"This property offers a two-bedroom stand-alone house with bathroom, lounge and kitchen; 7",https://www.property24.co.bw/9-bedroom-house-for-sale-in-broadhurst-111982288,9.0,,,,Property24,P 1 200 000,,
4 Bedroom House,Gaborone North,"GABORONE NORTH- Double storey home offering 4 bedrooms, master ensuite, common bathroom,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-north-110921752,4.0,2.0,2.0,752 m²,Property24,P 1 800 000,,
4 Bedroom House,Gaborone North,"GABORONE NORTH- Double storey home offering 4 bedrooms, master ensuite, common bathroom,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-north-110921752,4.0,2.0,2.0,752 m²,Property24,P 1 800 000,,
Vacant Land / Plot,Gaborone Central,SENTLHANE- Vacant land measuring 3500m2.,https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-central-110360103,,,,3 500 m²,Property24,P 975 000,,
Vacant Land / Plot,Gaborone Central,SENTLHANE- Vacant land measuring 3500m2.,https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-central-110360103,,,,3 500 m²,Property24,P 975 000,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots for sale in Gaborone North measuring 856m2, only 1.4km from",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-101757620,,,,856 m²,Property24,P 642 000,,
Vacant Land / Plot,Gaborone North,"GABORONE NORTH: Freehold plots for sale in Gaborone North measuring 856m2, only 1.4km from",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-101757620,,,,856 m²,Property24,P 642 000,,
4 Bedroom House,Block 9,"BLOCK 9: Neat family home with modern features. This home has separate lounge, dining room,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-9-113858125,4.0,2.0,2.0,600 m²,Property24,P 1 900 000,,
4 Bedroom House,Block 9,"BLOCK 9: Neat family home with modern features. This home has separate lounge, dining room,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-block-9-113858125,4.0,2.0,2.0,600 m²,Property24,P 1 900 000,,
5 Bedroom House,Gaborone,"MORWA- This double storey is approximately 1km from the Morwa/Bokaa traffic lights.
This",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-112803732,5.0,5.0,5.0,5.33 ha,Property24,P 5 870 000,,
5 Bedroom House,Gaborone,"MORWA- This double storey is approximately 1km from the Morwa/Bokaa traffic lights.
This",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-112803732,5.0,5.0,5.0,5.33 ha,Property24,P 5 870 000,,
4 Bedroom House,Mokolodi 1,"MOKOLODI 1- This home has a country lifestyle. This home offers 2 lounges, dining room,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-1-110690861,4.0,4.0,4.0,2 550 m²,Property24,P 3 300 000,,
4 Bedroom House,Mokolodi 1,"MOKOLODI 1- This home has a country lifestyle. This home offers 2 lounges, dining room,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-mokolodi-1-110690861,4.0,4.0,4.0,2 550 m²,Property24,P 3 300 000,,
14 Bedroom House,Gaborone,"MOGODITSHANE - 14 bed self catering complex. Each cottage has 1 bedroom, a lounge plus",https://www.property24.co.bw/14-bedroom-house-for-sale-in-gaborone-110381790,14.0,14.0,14.0,5 001 m²,Property24,P 6 700 000,,
14 Bedroom House,Gaborone,"MOGODITSHANE - 14 bed self catering complex. Each cottage has 1 bedroom, a lounge plus",https://www.property24.co.bw/14-bedroom-house-for-sale-in-gaborone-110381790,14.0,14.0,14.0,5 001 m²,Property24,P 6 700 000,,
3 Bedroom Townhouse,Gaborone North,The property sits on a 500m2 plot in a secure gated community with controlled access and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-gaborone-north-113228916,3.0,2.0,2.0,500 m²,Property24,P 1 700 000,,
3 Bedroom Townhouse,Gaborone North,The property sits on a 500m2 plot in a secure gated community with controlled access and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-gaborone-north-113228916,3.0,2.0,2.0,500 m²,Property24,P 1 700 000,,
3 Bedroom House,Block 10,Secure this one! Located just a stone throw away from Setlhoa estate is this newly,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-10-113797509,3.0,2.5,2.5,,Property24,P 2 700 000,,
3 Bedroom House,Block 10,Secure this one! Located just a stone throw away from Setlhoa estate is this newly,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-10-113797509,3.0,2.5,2.5,,Property24,P 2 700 000,,
4 Bedroom House,Phakalane,"Nestled on an expansive plot of approximately 1400sqm, this property offers a taste of",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113466653,4.0,3.0,3.0,1 400 m²,Property24,P 3 100 000,,
4 Bedroom House,Phakalane,"Nestled on an expansive plot of approximately 1400sqm, this property offers a taste of",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-113466653,4.0,3.0,3.0,1 400 m²,Property24,P 3 100 000,,
3 Bedroom House,Gaborone North,GABORONE NORTH: nice and neat home on the first turn into Gaborone North. This house sits,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-112252036,3.0,2.0,2.0,700 m²,Property24,P 1 700 000,,
3 Bedroom House,Gaborone North,GABORONE NORTH: nice and neat home on the first turn into Gaborone North. This house sits,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-112252036,3.0,2.0,2.0,700 m²,Property24,P 1 700 000,,
Commercial Property,Block 8,BLOCK 8 INDUSTRIAL: Affordable warehouse in a sought-after area. Warehouse measuring 440m2,https://www.property24.co.bw/commercial-property-for-sale-in-block-8-112630977,,,,,Property24,P 4 200 000,,
Commercial Property,Block 8,BLOCK 8 INDUSTRIAL: Affordable warehouse in a sought-after area. Warehouse measuring 440m2,https://www.property24.co.bw/commercial-property-for-sale-in-block-8-112630977,,,,,Property24,P 4 200 000,,
Vacant Land / Plot,Gaborone,"Don't miss out on this unique investment opportunity 
at this unbeatable price!

FOR",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-112257550,,,,,Property24,P 462 000,,
Vacant Land / Plot,Gaborone,"Don't miss out on this unique investment opportunity 
at this unbeatable price!

FOR",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-112257550,,,,,Property24,P 462 000,,
8 Bedroom House,Gaborone,"MMOPANE: Multi residential units, situated not far from the Mmopane Primary School. Just",https://www.property24.co.bw/8-bedroom-house-for-sale-in-gaborone-112325834,8.0,5.0,5.0,1 667 m²,Property24,P 1 150 000,,
8 Bedroom House,Gaborone,"MMOPANE: Multi residential units, situated not far from the Mmopane Primary School. Just",https://www.property24.co.bw/8-bedroom-house-for-sale-in-gaborone-112325834,8.0,5.0,5.0,1 667 m²,Property24,P 1 150 000,,
Vacant Land / Plot,Notwane,"NOTWANE- Close to tarred road and Police station, undeveloped 1.1 hectare corner plot.",https://www.property24.co.bw/vacant-land-plot-for-sale-in-notwane-110555289,,,,1.1 ha,Property24,P 1 300 000,,
Vacant Land / Plot,Notwane,"NOTWANE- Close to tarred road and Police station, undeveloped 1.1 hectare corner plot.",https://www.property24.co.bw/vacant-land-plot-for-sale-in-notwane-110555289,,,,1.1 ha,Property24,P 1 300 000,,
Commercial Property,Gaborone International Commerce Park,"COMMERCE PARK: Excellent office + warehouse space with quality finishes, fitted reception,",https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-international-commerce-park-113712324,,,,183 m²,Property24,P 2 300 000,,
Commercial Property,Gaborone International Commerce Park,"COMMERCE PARK: Excellent office + warehouse space with quality finishes, fitted reception,",https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-international-commerce-park-113712324,,,,183 m²,Property24,P 2 300 000,,
3 Bedroom House,Gaborone,"MOGODITSHANE BLOCK 9: Neat 3-bedroom house, open plan lounge and kitchen. master bedroom",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-112356573,3.0,2.0,2.0,1 000 m²,Property24,P 1 100 000,,
3 Bedroom House,Gaborone,"MOGODITSHANE BLOCK 9: Neat 3-bedroom house, open plan lounge and kitchen. master bedroom",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-112356573,3.0,2.0,2.0,1 000 m²,Property24,P 1 100 000,,
3 Bedroom House,Block 5,BLOCK 5: In a sought-after location close to schools in the area. This appealing home has a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-5-113713968,3.0,2.0,2.0,928 m²,Property24,P 1 700 000,,
3 Bedroom House,Block 5,BLOCK 5: In a sought-after location close to schools in the area. This appealing home has a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-5-113713968,3.0,2.0,2.0,928 m²,Property24,P 1 700 000,,
Commercial Property,Gaborone,Look no further than this immaculate and newly built free-standing commercial/industrial,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-112434782,,,,4 882 m²,Property24,P 23 000 000,,
Commercial Property,Gaborone,Look no further than this immaculate and newly built free-standing commercial/industrial,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-112434782,,,,4 882 m²,Property24,P 23 000 000,,
5 Bedroom House,Gaborone North,"GNORTH: Lovely 5-bedroom house consisting of 2 ensuites, common bathroom, tv room, dinning,",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-north-113405255,5.0,3.0,3.0,883 m²,Property24,P 2 600 000,,
5 Bedroom House,Gaborone North,"GNORTH: Lovely 5-bedroom house consisting of 2 ensuites, common bathroom, tv room, dinning,",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-north-113405255,5.0,3.0,3.0,883 m²,Property24,P 2 600 000,,
2 Bedroom House,Broadhurst,"Nestled in the heart of Gaborone, White City offers a modest yet inviting real estate",https://www.property24.co.bw/2-bedroom-house-for-sale-in-broadhurst-113614260,2.0,1.0,1.0,462 m²,Property24,P 499 000,,
2 Bedroom House,Broadhurst,"Nestled in the heart of Gaborone, White City offers a modest yet inviting real estate",https://www.property24.co.bw/2-bedroom-house-for-sale-in-broadhurst-113614260,2.0,1.0,1.0,462 m²,Property24,P 499 000,,
Commercial Property,Gaborone,Look no further than this immaculate and newly built free-standing commercial/industrial,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-101736558,,,,4 882 m²,Property24,P 23 000 000,,
Commercial Property,Gaborone,Look no further than this immaculate and newly built free-standing commercial/industrial,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-101736558,,,,4 882 m²,Property24,P 23 000 000,,
6 Bedroom House,Phakalane,RURETSE: This magnificent home boasts 6 bedrooms and 5 are en-suite. The home is spacious,https://www.property24.co.bw/6-bedroom-house-for-sale-in-phakalane-107973369,6.0,5.0,5.0,2 ha,Property24,P 3 600 000,,
6 Bedroom House,Phakalane,RURETSE: This magnificent home boasts 6 bedrooms and 5 are en-suite. The home is spacious,https://www.property24.co.bw/6-bedroom-house-for-sale-in-phakalane-107973369,6.0,5.0,5.0,2 ha,Property24,P 3 600 000,,
Commercial Property,Mokolodi 1,MOKOLODI NATURE RESERVE/CROCODILE POOLS; Tranquil and  peaceful bordering the Mokolodi,https://www.property24.co.bw/commercial-property-for-sale-in-mokolodi-1-106147621,,,,8.74 ha,Property24,P 8 000 000,,
Commercial Property,Mokolodi 1,MOKOLODI NATURE RESERVE/CROCODILE POOLS; Tranquil and  peaceful bordering the Mokolodi,https://www.property24.co.bw/commercial-property-for-sale-in-mokolodi-1-106147621,,,,8.74 ha,Property24,P 8 000 000,,
3 Bedroom Townhouse,Kgale,"About Our Property
•	Master bedroom en-suite Balcony on 1st Floor
•	2 bedrooms with",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-kgale-113166505,3.0,2.0,2.0,,Property24,P 1 407 477,,
3 Bedroom Townhouse,Kgale,"About Our Property
•	Master bedroom en-suite Balcony on 1st Floor
•	2 bedrooms with",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-kgale-113166505,3.0,2.0,2.0,,Property24,P 1 407 477,,
4 Bedroom House,Phakalane,Grab this stunning family home located in a serene gated neighbourhood your own! It,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114246973,4.0,2.5,2.5,,Property24,P 2 100 000,,
4 Bedroom House,Phakalane,Grab this stunning family home located in a serene gated neighbourhood your own! It,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114246973,4.0,2.5,2.5,,Property24,P 2 100 000,,
